position,gcp,chr
1.0,0.32959444664686377,CP000731.1
2.0,0.3379709380859917,CP000731.1
3.0,0.3518887916633884,CP000731.1
4.0,0.32521452485081104,CP000731.1
5.0,0.3262645575050638,CP000731.1
6.0,0.35370939443483645,CP000731.1
7.0,0.34296340563613814,CP000731.1
8.0,0.32611215049546566,CP000731.1
9.0,0.3350382368964179,CP000731.1
10.0,0.33070180920965714,CP000731.1
11.0,0.32782763129769865,CP000731.1
12.0,0.3364846961654614,CP000731.1
13.0,0.3372156518412459,CP000731.1
14.0,0.3279750456158158,CP000731.1
15.0,0.3625658543327219,CP000731.1
16.0,0.362674883689674,CP000731.1
17.0,0.3396108997043047,CP000731.1
18.0,0.34416596199558025,CP000731.1
19.0,0.3418487639592443,CP000731.1
20.0,0.3305393755827349,CP000731.1
21.0,0.3541813745771905,CP000731.1
22.0,0.36117991084769735,CP000731.1
23.0,0.3354505856206556,CP000731.1
24.0,0.3265947205035618,CP000731.1
25.0,0.3372353338555897,CP000731.1
26.0,0.3993104992970138,CP000731.1
27.0,0.33168204569582826,CP000731.1
28.0,0.3507074153390266,CP000731.1
29.0,0.35576986215582024,CP000731.1
30.0,0.3258203231713697,CP000731.1
31.0,0.3250023304859295,CP000731.1
32.0,0.3353940515214782,CP000731.1
33.0,0.32601147403204206,CP000731.1
34.0,0.38595401522016304,CP000731.1
35.0,0.3609686965125789,CP000731.1
36.0,0.36457692090671034,CP000731.1
37.0,0.3343894503789641,CP000731.1
38.0,0.340309160762941,CP000731.1
39.0,0.39262047304434433,CP000731.1
40.0,0.326943662891817,CP000731.1
41.0,0.3317856501164398,CP000731.1
42.0,0.32624097581319256,CP000731.1
43.0,0.331063492057971,CP000731.1
44.0,0.32628016287812633,CP000731.1
45.0,0.34238935839636936,CP000731.1
46.0,0.3489609457119125,CP000731.1
47.0,0.3679127905860789,CP000731.1
48.0,0.3545669775174901,CP000731.1
49.0,0.332473868833582,CP000731.1
50.0,0.34808065577877123,CP000731.1
51.0,0.36665928266329373,CP000731.1
52.0,0.33372016362756507,CP000731.1
53.0,0.32766189326506895,CP000731.1
54.0,0.38238767373209304,CP000731.1
55.0,0.40993429755746896,CP000731.1
56.0,0.3515589394332914,CP000731.1
57.0,0.3284290241075369,CP000731.1
58.0,0.33210617101133943,CP000731.1
59.0,0.33843648679255794,CP000731.1
60.0,0.33335678641734595,CP000731.1
61.0,0.34960113326751774,CP000731.1
62.0,0.35533008362220225,CP000731.1
63.0,0.3828109440411788,CP000731.1
64.0,0.3679176860956606,CP000731.1
65.0,0.3344575322497205,CP000731.1
66.0,0.3483005956189057,CP000731.1
67.0,0.33538723836360984,CP000731.1
68.0,0.32717515193545477,CP000731.1
69.0,0.32764237569368365,CP000731.1
70.0,0.32604590018817964,CP000731.1
71.0,0.37948733478566005,CP000731.1
72.0,0.4178627132571641,CP000731.1
73.0,0.37681496662768454,CP000731.1
74.0,0.33291793841067086,CP000731.1
75.0,0.34774467384654767,CP000731.1
76.0,0.3456458708759761,CP000731.1
77.0,0.3648234311715767,CP000731.1
78.0,0.32752339759647076,CP000731.1
79.0,0.3435976807731029,CP000731.1
80.0,0.3908018740598892,CP000731.1
81.0,0.3265280498447357,CP000731.1
82.0,0.3423007072248934,CP000731.1
83.0,0.3310556319815929,CP000731.1
84.0,0.3787254680264436,CP000731.1
85.0,0.35921825723713724,CP000731.1
86.0,0.3303074592922496,CP000731.1
87.0,0.3423547578690729,CP000731.1
88.0,0.36196435914757746,CP000731.1
89.0,0.36483032320220427,CP000731.1
90.0,0.3361049376239052,CP000731.1
91.0,0.33831530834323376,CP000731.1
92.0,0.359346155931712,CP000731.1
93.0,0.3294921047461976,CP000731.1
94.0,0.36699298431065785,CP000731.1
95.0,0.3739940692303405,CP000731.1
96.0,0.3290735622991265,CP000731.1
97.0,0.3353743126782341,CP000731.1
98.0,0.328761000694553,CP000731.1
99.0,0.3589183477736349,CP000731.1
100.0,0.3397394888854669,CP000731.1
101.0,0.3257845025292838,CP000731.1
102.0,0.35599842780500546,CP000731.1
103.0,0.3295745793563774,CP000731.1
104.0,0.339324476035823,CP000731.1
105.0,0.34549580702265903,CP000731.1
106.0,0.3430810353432004,CP000731.1
107.0,0.336563354511666,CP000731.1
108.0,0.3325104741263078,CP000731.1
109.0,0.3277276036282537,CP000731.1
110.0,0.3793551631451196,CP000731.1
111.0,0.3363516336907593,CP000731.1
112.0,0.3674355032354338,CP000731.1
113.0,0.34063929861652176,CP000731.1
114.0,0.3281746047490002,CP000731.1
115.0,0.3513422129990801,CP000731.1
116.0,0.35022202006915215,CP000731.1
117.0,0.33716271448353596,CP000731.1
118.0,0.35926635562768766,CP000731.1
119.0,0.3372861028100882,CP000731.1
120.0,0.33680254885896915,CP000731.1
121.0,0.3429047488208821,CP000731.1
122.0,0.39695360078249975,CP000731.1
123.0,0.33834735683657013,CP000731.1
124.0,0.3274772575738781,CP000731.1
125.0,0.3284411317208074,CP000731.1
126.0,0.3479997560239757,CP000731.1
127.0,0.4012730994871975,CP000731.1
128.0,0.35880325674203095,CP000731.1
129.0,0.3494914595167701,CP000731.1
130.0,0.4005551080935291,CP000731.1
131.0,0.35357144893203835,CP000731.1
132.0,0.334295426852004,CP000731.1
133.0,0.38699461094931287,CP000731.1
134.0,0.3500215670045968,CP000731.1
135.0,0.32594919091630775,CP000731.1
136.0,0.3305761694667714,CP000731.1
137.0,0.32567184734966104,CP000731.1
138.0,0.35646584255480523,CP000731.1
139.0,0.3476816844631448,CP000731.1
140.0,0.3292869824907115,CP000731.1
141.0,0.3399952747716659,CP000731.1
142.0,0.33142412083181466,CP000731.1
143.0,0.36961933951710785,CP000731.1
144.0,0.35226474695563426,CP000731.1
145.0,0.33879912168097487,CP000731.1
146.0,0.32618250764964973,CP000731.1
147.0,0.33268952924489675,CP000731.1
148.0,0.3350216156058979,CP000731.1
149.0,0.3352968534509713,CP000731.1
150.0,0.3534316079787961,CP000731.1
151.0,0.3361724590251128,CP000731.1
152.0,0.3835903938207801,CP000731.1
153.0,0.3257199061105613,CP000731.1
154.0,0.33976119265908106,CP000731.1
155.0,0.3345984062311101,CP000731.1
156.0,0.3302624457557923,CP000731.1
157.0,0.3255177395369269,CP000731.1
158.0,0.3533452593050889,CP000731.1
159.0,0.3362557118190262,CP000731.1
160.0,0.3265043748648735,CP000731.1
161.0,0.337789076904194,CP000731.1
162.0,0.3331485341636551,CP000731.1
163.0,0.3500550580439288,CP000731.1
164.0,0.3523301435775425,CP000731.1
165.0,0.32647243119353214,CP000731.1
166.0,0.3301648787495436,CP000731.1
167.0,0.3473874750601701,CP000731.1
168.0,0.33548523533588265,CP000731.1
169.0,0.3397503578453077,CP000731.1
170.0,0.3268815850392496,CP000731.1
171.0,0.334179006243004,CP000731.1
172.0,0.33895767498493307,CP000731.1
173.0,0.35146512080855097,CP000731.1
174.0,0.34631891871215437,CP000731.1
175.0,0.36823859061993186,CP000731.1
176.0,0.32891336312708247,CP000731.1
177.0,0.3857796116856023,CP000731.1
178.0,0.3303440768102574,CP000731.1
179.0,0.3311113797055279,CP000731.1
180.0,0.3273804204938076,CP000731.1
181.0,0.3407335367731632,CP000731.1
182.0,0.3358468046139197,CP000731.1
183.0,0.338984178214068,CP000731.1
184.0,0.3402385062624165,CP000731.1
