gene_id	locus_tag	start	end	strand	product	go	genome_id	accession	gene_name
cds-WP_001290433.1	USA300HOU_RS00005	544	1905	+	chromosomal replication initiator protein DnaA	DNA replication initiation|0006270||IEA,regulation of DNA replication|0006275||IEA	TCH1516	NC_010079.1	dnaA
cds-WP_000969811.1	USA300HOU_RS00010	2183	3316	+	DNA polymerase III subunit beta	DNA replication|0006260||IEA	TCH1516	NC_010079.1	dnaN
cds-WP_001789359.1	USA300HOU_RS00015	3697	3942	+	S4 domain-containing protein YaaA	None	TCH1516	NC_010079.1	yaaA
cds-WP_000775113.1	USA300HOU_RS00020	3939	5051	+	DNA replication/repair protein RecF	DNA repair|0006281||IEA	TCH1516	NC_010079.1	recF
cds-WP_000255586.1	USA300HOU_RS00025	5061	6995	+	DNA topoisomerase (ATP-hydrolyzing) subunit B	DNA topological change|0006265||IEA	TCH1516	NC_010079.1	gyrB
cds-WP_000819088.1	USA300HOU_RS00030	7032	9695	+	DNA gyrase subunit A	DNA metabolic process|0006259||IEA,DNA topological change|0006265||IEA	TCH1516	NC_010079.1	gyrA
cds-WP_000449218.1	USA300HOU_RS00035	9782	10594	-	NAD(P)H-hydrate dehydratase	None	TCH1516	NC_010079.1	USA300HOU_RS00035
cds-WP_000177464.1	USA300HOU_RS00040	10920	12434	+	histidine ammonia-lyase	histidine catabolic process|0006548||IEA	TCH1516	NC_010079.1	hutH
id-NC_010079.1:12507..12723	None	12507	12723	+	None	None	TCH1516	NC_010079.1	None
cds-WP_000884334.1	USA300HOU_RS00045	12813	14099	+	serine--tRNA ligase	seryl-tRNA aminoacylation|0006434||IEA	TCH1516	NC_010079.1	serS
cds-WP_000207105.1	USA300HOU_RS00050	14749	15444	+	AzlC family ABC transporter permease	None	TCH1516	NC_010079.1	USA300HOU_RS00050
cds-WP_000628050.1	USA300HOU_RS00055	15441	15770	+	AzlD domain-containing protein	None	TCH1516	NC_010079.1	USA300HOU_RS00055
id-NC_010079.1:15975..16073	None	15975	16073	+	None	None	TCH1516	NC_010079.1	None
cds-WP_000186481.1	USA300HOU_RS00060	16133	17101	+	alpha/beta fold hydrolase family protein	None	TCH1516	NC_010079.1	USA300HOU_RS00060
cds-WP_001791710.1	USA300HOU_RS00065	17392	18330	+	YybS family protein	None	TCH1516	NC_010079.1	USA300HOU_RS00065
cds-WP_001081634.1	USA300HOU_RS00070	18345	20312	+	cyclic-di-AMP phosphodiesterase GdpP	None	TCH1516	NC_010079.1	gdpP
cds-WP_000864305.1	USA300HOU_RS00075	20309	20755	+	50S ribosomal protein L9	translation|0006412||IEA	TCH1516	NC_010079.1	rplI
cds-WP_000375647.1	USA300HOU_RS00080	20787	22187	+	replicative DNA helicase	DNA replication|0006260||IEA	TCH1516	NC_010079.1	dnaB
cds-WP_000095327.1	USA300HOU_RS00085	22465	23748	+	adenylosuccinate synthase	purine nucleotide biosynthetic process|0006164||IEA	TCH1516	NC_010079.1	USA300HOU_RS00085
rna-USA300HOU_RS00090	USA300HOU_RS00090	24178	24252	+	None	None	TCH1516	NC_010079.1	USA300HOU_RS00090
