	genome_id	genome_name	accession	annotation	feature_type	gene_id	start	end	strand	na_length	gene	product	ec	refseq_locus_tag
1	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00001	89	775	+	686		hypothetical protein		1280pt26024_00001
3	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00002	768	2162	+	1394		hypothetical protein		1280pt26024_00002
5	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00003	2159	2716	+	557	dapH_1	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	2.3.1.89	1280pt26024_00003
7	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00004	2725	3963	+	1238		hypothetical protein		1280pt26024_00004
9	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00005	3997	5202	+	1205		hypothetical protein		1280pt26024_00005
11	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00006	5213	5770	+	557	epsL	putative sugar transferase EpsL	2.-.-.-	1280pt26024_00006
13	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00007	5770	6657	+	887	fcl	GDP-L-fucose synthase	1.1.1.271	1280pt26024_00007
15	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00008	6711	7973	+	1262	wecC	UDP-N-acetyl-D-mannosamine dehydrogenase	1.1.1.336	1280pt26024_00008
17	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00009	8050	9195	+	1145	mnaA_1	UDP-N-acetylglucosamine 2-epimerase	5.1.3.14	1280pt26024_00009
19	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00010	9586	9260	-	326	isdI	Heme oxygenase (staphylobilin-producing) 2	1.14.99.48	1280pt26024_00010
21	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00011	9976	9593	-	383	ybaN	Inner membrane protein YbaN		1280pt26024_00011
23	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00012	10403	11890	+	1487	aldA	Putative aldehyde dehydrogenase AldA	1.2.1.3	1280pt26024_00012
25	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00013	12537	13496	+	959	czcD_1	Cadmium, cobalt and zinc/H(+)-K(+) antiporter		1280pt26024_00013
27	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00014	13761	13558	-	203		hypothetical protein		1280pt26024_00014
29	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00015	13941	14453	+	512		hypothetical protein		1280pt26024_00015
31	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00016	14795	15535	+	740	nrtD	Nitrate import ATP-binding protein NrtD	7.3.2.4	1280pt26024_00016
33	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00017	15549	16523	+	974		hypothetical protein		1280pt26024_00017
35	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00018	16520	17281	+	761	ssuC	Putative aliphatic sulfonates transport permease protein SsuC		1280pt26024_00018
37	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00019	17291	18325	+	1034		hypothetical protein		1280pt26024_00019
39	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00020	18539	18898	+	359		hypothetical protein		1280pt26024_00020
41	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00021	18922	20097	+	1175		Formate dehydrogenase	1.17.1.9	1280pt26024_00021
43	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00022	20483	21733	+	1250	mdrP	Na(+), Li(+), K(+)/H(+) antiporter		1280pt26024_00022
45	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00023	22180	29355	+	7175	dltA_1	D-alanine--D-alanyl carrier protein ligase	6.2.1.54	1280pt26024_00023
47	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00024	29368	30012	+	644		hypothetical protein		1280pt26024_00024
49	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00025	30835	30341	-	494	yagU	Inner membrane protein YagU		1280pt26024_00025
51	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00026	31875	31105	-	770	argB	Acetylglutamate kinase	2.7.2.8	1280pt26024_00026
53	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00027	33132	31891	-	1241	argJ	Arginine biosynthesis bifunctional protein ArgJ		1280pt26024_00027
55	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00028	34178	33144	-	1034	argC	N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1280pt26024_00028
57	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00029	35398	34214	-	1184	rocD2_1	Ornithine aminotransferase 2	2.6.1.13	1280pt26024_00029
59	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00030	37006	35651	-	1355	brnQ_1	Branched-chain amino acid transport system 2 carrier protein		1280pt26024_00030
61	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00031	37841	37284	-	557	yecD	Isochorismatase family protein YecD	3.-.-.-	1280pt26024_00031
63	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00032	39548	37908	-	1640	ipdC	Indole-3-pyruvate decarboxylase	4.1.1.74	1280pt26024_00032
65	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00033	39679	39813	+	134		hypothetical protein		1280pt26024_00033
67	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00034	41865	39820	-	2045	ptsG_1	PTS system glucose-specific EIICBA component	2.7.1.199	1280pt26024_00034
69	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00035	42450	43505	+	1055		hypothetical protein		1280pt26024_00035
71	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00036	43505	44401	+	896	murQ	N-acetylmuramic acid 6-phosphate etherase	4.2.1.126	1280pt26024_00036
73	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00037	44413	45867	+	1454		PTS system EIIBC component		1280pt26024_00037
75	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00038	45867	46745	+	878	ybbH_1	putative HTH-type transcriptional regulator YbbH		1280pt26024_00038
77	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00039	47221	46940	-	281		hypothetical protein		1280pt26024_00039
79	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00040	47434	50223	+	2789	hsdR	Type-1 restriction enzyme R protein	3.1.21.3	1280pt26024_00040
81	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00041	50423	51286	+	863		hypothetical protein		1280pt26024_00041
83	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00042	53083	51491	-	1592	gsiA	Glutathione import ATP-binding protein GsiA	7.4.2.10	1280pt26024_00042
85	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00043	53085	54518	+	1433		hypothetical protein		1280pt26024_00043
87	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00044	54524	55687	+	1163		hypothetical protein		1280pt26024_00044
89	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00045	55704	57479	+	1775		hypothetical protein		1280pt26024_00045
91	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00046	57517	59523	+	2006	ggt	Glutathione hydrolase proenzyme	3.4.19.13	1280pt26024_00046
93	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00047	60686	60060	-	626	azoR	FMN-dependent NADH-azoreductase	1.7.1.17	1280pt26024_00047
95	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00048	60895	61473	+	578		hypothetical protein		1280pt26024_00048
97	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00049	61856	62953	+	1097	msmX	Oligosaccharides import ATP-binding protein MsmX	7.5.2.-	1280pt26024_00049
99	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00050	62966	64237	+	1271	cycB	Cyclodextrin-binding protein		1280pt26024_00050
101	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00051	64240	65508	+	1268		hypothetical protein		1280pt26024_00051
103	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00052	65510	66349	+	839	malG	Maltose/maltodextrin transport system permease protein MalG		1280pt26024_00052
105	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00053	66526	67602	+	1076	gfo	Glucose--fructose oxidoreductase	1.1.99.28	1280pt26024_00053
107	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00054	67627	68667	+	1040	iolG	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase	1.1.1.369	1280pt26024_00054
109	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00055	68722	69690	+	968		hypothetical protein		1280pt26024_00055
111	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00056	70543	70049	-	494		hypothetical protein		1280pt26024_00056
113	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00057	70776	72155	+	1379	uhpT	Hexose-6-phosphate:phosphate antiporter		1280pt26024_00057
115	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00058	73272	72514	-	758		putative response regulatory protein		1280pt26024_00058
117	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00059	74821	73265	-	1556		putative sensor-like histidine kinase	2.7.13.3	1280pt26024_00059
119	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00060	75786	74818	-	968		putative protein		1280pt26024_00060
121	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00061	76374	78623	+	2249	pflB	Formate acetyltransferase	2.3.1.54	1280pt26024_00061
123	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00062	78646	79401	+	755	pflA	Pyruvate formate-lyase-activating enzyme	1.97.1.4	1280pt26024_00062
125	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00063	79723	81486	+	1763		hypothetical protein		1280pt26024_00063
